sku_id,tier,shop,trust,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_OPTIC_HOBBY,hobby,sportscardjunction,watch,2023-24 Panini Donruss Optic Basketball Hobby Box,,500.0,0,529.99,,,,,250.0,300.0,,,0,https://sportscardjunction.com/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,trusted,2023-24 Panini Donruss Optic Basketball Hobby Box,,519.99,0,550.67,,,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-nba-basketball-hobby-box-new-free-shipping-🔥🔥🔥,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,ballgame,watch,2023/24 Panini Donruss Optic Basketball Hobby Box,,540.0,0,571.36,,,,,250.0,300.0,,,0,https://theballgame.com/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,worldchampion,watch,2023-24 Panini Donruss Optic Basketball Hobby Box,,550.0,0,581.71,,,,,250.0,300.0,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,bleecker,watch,2023-24 Panini Donruss Optic Basketball Hobby Box,,700.0,0,736.87,,,,,250.0,300.0,,,0,https://bleeckertrading.com/products/2023-24-panini-donruss-optic-basketball-hobby-sealed-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,ballgame,watch,2023/24 Panini Select Basketball Hobby Exclusive Blaster Box,,50.0,0,64.51,,,,,300.0,350.0,,,0,https://theballgame.com/products/2023-24-panini-select-basketball-hobby-exclusive-blaster-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,ballgame,watch,2023-24 Panini Select Basketball Hobby Exclusive MEGA BOX (GREEN SHOCK) Rare,,75.0,0,90.37,,,,,300.0,350.0,,,0,https://theballgame.com/products/2023-24-panini-select-basketball-hobby-exclusive-mega-box-green-shock-rare,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,awesome,trusted,2023-24 Panini Select Basketball Hobby Box,,534.0,0,565.16,,,,,300.0,350.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,columbia,trusted,2023-24 Panini Select Basketball Hobby Box,,544.99,0,576.53,,,,,300.0,350.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,sportscardjunction,watch,2023-24 Panini Select Basketball Hobby Box,,565.0,0,597.22,,,,,300.0,350.0,,,0,https://sportscardjunction.com/products/pre-order-2023-24-panini-select-basketball-hobby-box,2026-08-17T18:50:49+00:00,1.0
